,Дата операции,date,Номер карты,Статус,Сумма операции,Валюта операции,Сумма платежа,Валюта платежа,Кэшбэк,category,MCC,description,Бонусы (включая кэшбэк),Округление на инвесткопилку,Сумма операции с округлением,amount,last_digits,total_spent,cashback
32,25.12.2021 22:21:49,26.12.2021,*5091,OK,-218.07,RUB,-218.07,RUB,0.0,Каршеринг,7512.0,Ситидрайв,10,0,218.07,218.07,5091,218.07,12.0
33,25.12.2021 19:59:44,26.12.2021,*5091,OK,-115.01,RUB,-115.01,RUB,0.0,Каршеринг,7512.0,Ситидрайв,5,0,115.01,115.01,5091,115.01,6.0
34,25.12.2021 19:46:44,26.12.2021,*5091,OK,-17.33,RUB,-17.33,RUB,0.0,Каршеринг,7512.0,Ситидрайв,0,0,17.33,17.33,5091,17.33,0.0
35,25.12.2021 17:47:43,25.12.2021,*7197,OK,-290.0,RUB,-290.0,RUB,0.0,Фастфуд,5814.0,IP Tupikova A.O.,5,0,290.0,290.0,7197,290.0,8.0
36,25.12.2021 15:30:02,25.12.2021,*7197,OK,-5.7,RUB,-5.7,RUB,0.0,Каршеринг,7512.0,Ситидрайв,0,0,5.7,5.7,7197,5.7,0.0
37,25.12.2021 13:04:15,25.12.2021,*7197,OK,-3400.0,RUB,-3400.0,RUB,0.0,Развлечения,7941.0,sevs.eduerp.ru,68,0,3400.0,3400.0,7197,3400.0,102.0
38,24.12.2021 20:02:48,25.12.2021,*7197,OK,-100.2,RUB,-100.2,RUB,0.0,Госуслуги,9402.0,Почта России,2,0,100.2,100.2,7197,100.2,3.0
39,24.12.2021 19:53:32,25.12.2021,*7197,OK,-78.0,RUB,-78.0,RUB,0.0,Госуслуги,9402.0,Почта России,1,0,78.0,78.0,7197,78.0,1.0
40,24.12.2021 19:30:55,25.12.2021,*5091,OK,-53.83,RUB,-53.83,RUB,0.0,Каршеринг,7512.0,Ситидрайв,2,0,53.83,53.83,5091,53.83,2.0
41,24.12.2021 18:18:27,24.12.2021,*7197,OK,-34.0,RUB,-34.0,RUB,0.0,Фастфуд,5814.0,Rumyanyj Khleb,0,0,34.0,34.0,7197,34.0,0.0
42,24.12.2021 11:49:17,26.12.2021,*7197,OK,-500.0,RUB,-500.0,RUB,0.0,Местный транспорт,4111.0,Метро Санкт-Петербург,10,0,500.0,500.0,7197,500.0,15.0
43,23.12.2021 22:33:11,24.12.2021,*5091,OK,-1.51,RUB,-1.51,RUB,0.0,Каршеринг,7512.0,Ситидрайв,0,0,1.51,1.51,5091,1.51,0.0
44,23.12.2021 17:00:31,23.12.2021,*7197,OK,-201.0,RUB,-201.0,RUB,0.0,Канцтовары,5943.0,IP Mitrankov M V,4,0,201.0,201.0,7197,201.0,6.0
45,23.12.2021 16:45:12,23.12.2021,*4556,OK,20000.0,RUB,20000.0,RUB,0.0,Другое,,Иван С.,0,0,20000.0,20000.0,4556,0.0,0.0
46,23.12.2021 02:34:15,23.12.2021,*5091,OK,-50.0,RUB,-50.0,RUB,0.0,Каршеринг,7512.0,Ситидрайв,2,0,50.0,50.0,5091,50.0,2.0
47,23.12.2021 02:34:14,23.12.2021,*5091,OK,-250.0,RUB,-250.0,RUB,0.0,Каршеринг,7512.0,Ситидрайв,12,0,250.0,250.0,5091,250.0,14.0
48,23.12.2021 02:34:12,23.12.2021,*5091,OK,-50.0,RUB,-50.0,RUB,0.0,Каршеринг,7512.0,Ситидрайв,2,0,50.0,50.0,5091,50.0,2.0
49,23.12.2021 02:34:11,23.12.2021,*5091,OK,-250.0,RUB,-250.0,RUB,0.0,Каршеринг,7512.0,Ситидрайв,12,0,250.0,250.0,5091,250.0,14.0
50,22.12.2021 23:23:01,23.12.2021,*5091,OK,-26.19,RUB,-26.19,RUB,0.0,Каршеринг,7512.0,Ситидрайв,1,0,26.19,26.19,5091,26.19,1.0
51,22.12.2021 22:59:48,23.12.2021,*5091,OK,-50.0,RUB,-50.0,RUB,0.0,Каршеринг,7512.0,Ситидрайв,2,0,50.0,50.0,5091,50.0,2.0
52,22.12.2021 22:59:47,23.12.2021,*5091,OK,-250.0,RUB,-250.0,RUB,0.0,Каршеринг,7512.0,Ситидрайв,12,0,250.0,250.0,5091,250.0,14.0
53,22.12.2021 21:41:00,23.12.2021,*5091,OK,-50.0,RUB,-50.0,RUB,0.0,Каршеринг,7512.0,Ситидрайв,2,0,50.0,50.0,5091,50.0,2.0
